,Domestic,Commercial,Public
574,817.0,0.0,500.0
575,705.0,0.0,500.0
576,387.0,0.0,500.0
577,352.0,0.0,500.0
578,446.0,0.0,500.0
579,408.0,0.0,0.0
580,421.0,0.0,0.0
581,429.0,0.0,0.0
582,490.0,0.0,0.0
583,130.0,0.0,0.0
584,125.0,400.0,0.0
585,150.0,1300.0,0.0
586,150.0,550.0,0.0
587,150.0,1500.0,0.0
588,135.0,1500.0,0.0
589,120.0,700.0,0.0
590,115.0,2000.0,0.0
591,110.0,1900.0,0.0
592,160.0,1650.0,0.0
593,417.0,2050.0,0.0
594,1216.0,950.0,500.0
595,1279.0,200.0,500.0
596,1315.0,0.0,500.0
597,1104.0,0.0,500.0
598,921.0,750.0,500.0
599,667.0,0.0,500.0
600,368.0,0.0,500.0
601,393.0,0.0,500.0
602,376.0,0.0,500.0
603,412.0,0.0,0.0
604,357.0,0.0,0.0
605,394.0,0.0,0.0
606,437.0,0.0,0.0
607,60.0,0.0,0.0
608,90.0,750.0,0.0
609,115.0,750.0,0.0
610,125.0,900.0,0.0
611,160.0,1100.0,0.0
612,150.0,700.0,0.0
613,190.0,1700.0,0.0
614,120.0,2200.0,0.0
615,110.0,1450.0,0.0
616,155.0,750.0,0.0
617,401.0,550.0,0.0
618,1257.0,1300.0,500.0
619,1268.0,200.0,500.0
620,1165.0,750.0,500.0
621,1002.0,350.0,500.0
622,854.0,0.0,500.0
623,672.0,0.0,500.0
624,351.0,0.0,500.0
625,378.0,750.0,500.0
626,384.0,0.0,500.0
627,353.0,0.0,0.0
628,369.0,0.0,0.0
629,378.0,0.0,0.0
630,431.0,0.0,0.0
631,35.0,0.0,0.0
632,150.0,700.0,0.0
633,115.0,950.0,0.0
634,130.0,1450.0,0.0
635,165.0,400.0,0.0
636,115.0,750.0,0.0
637,200.0,700.0,0.0
638,145.0,550.0,0.0
639,175.0,750.0,0.0
640,125.0,1450.0,0.0
641,360.0,1500.0,0.0
642,1201.0,200.0,500.0
643,1253.0,400.0,500.0
644,1250.0,0.0,500.0
645,1110.0,350.0,500.0
646,834.0,750.0,500.0
647,709.0,0.0,500.0
648,419.0,0.0,500.0
649,356.0,0.0,500.0
650,438.0,0.0,500.0
651,379.0,0.0,0.0
652,414.0,0.0,0.0
653,397.0,0.0,0.0
654,463.0,0.0,0.0
655,100.0,0.0,0.0
656,125.0,550.0,0.0
657,110.0,1150.0,0.0
658,155.0,550.0,0.0
659,135.0,1650.0,0.0
660,150.0,200.0,0.0
661,200.0,950.0,0.0
662,130.0,0.0,0.0
663,120.0,950.0,0.0
664,130.0,950.0,0.0
665,387.0,1700.0,0.0
666,1237.0,1500.0,500.0
667,1257.0,200.0,500.0
668,1221.0,200.0,500.0
669,1160.0,350.0,500.0
670,841.0,200.0,500.0
671,708.0,0.0,500.0
672,407.0,0.0,500.0
673,328.0,0.0,500.0
674,384.0,0.0,500.0
675,422.0,0.0,0.0
676,354.0,0.0,0.0
677,392.0,0.0,0.0
678,431.0,0.0,0.0
679,90.0,350.0,0.0
680,140.0,1650.0,0.0
681,150.0,2250.0,0.0
682,150.0,1600.0,0.0
683,145.0,1250.0,0.0
684,180.0,1650.0,0.0
685,90.0,0.0,0.0
686,135.0,1050.0,0.0
687,155.0,1850.0,0.0
688,145.0,2200.0,0.0
689,389.0,1250.0,0.0
690,1195.0,700.0,500.0
691,1193.0,1150.0,500.0
692,1281.0,350.0,500.0
693,1014.0,1100.0,500.0
694,841.0,0.0,500.0
695,651.0,0.0,500.0
696,379.0,0.0,500.0
697,398.0,0.0,500.0
698,332.0,0.0,500.0
699,377.0,0.0,0.0
700,415.0,0.0,0.0
701,402.0,0.0,0.0
702,527.0,0.0,0.0
703,90.0,750.0,0.0
704,100.0,0.0,0.0
705,115.0,950.0,0.0
706,195.0,2200.0,0.0
707,110.0,1300.0,0.0
708,145.0,1300.0,0.0
709,145.0,750.0,0.0
710,120.0,2050.0,0.0
711,120.0,1050.0,0.0
712,140.0,400.0,0.0
713,421.0,900.0,0.0
714,1198.0,1500.0,500.0
715,1254.0,900.0,500.0
716,1276.0,0.0,500.0
717,1102.0,0.0,500.0
718,879.0,0.0,500.0
719,628.0,0.0,500.0
720,386.0,0.0,500.0
721,414.0,0.0,500.0
722,400.0,750.0,500.0
723,361.0,0.0,0.0
724,321.0,0.0,0.0
725,357.0,0.0,0.0
726,489.0,0.0,0.0
727,80.0,0.0,0.0
728,120.0,1300.0,0.0
729,125.0,750.0,0.0
730,170.0,1100.0,0.0
731,85.0,2250.0,0.0
732,130.0,550.0,0.0
733,110.0,1700.0,0.0
734,140.0,1250.0,0.0
735,140.0,1850.0,0.0
736,145.0,1600.0,0.0
737,365.0,900.0,0.0
738,1202.0,1150.0,500.0
739,1391.0,950.0,500.0
740,1212.0,0.0,500.0
741,1211.0,750.0,500.0
742,869.0,0.0,500.0
743,719.0,0.0,500.0
744,349.0,0.0,500.0
745,425.0,0.0,500.0
746,395.0,0.0,500.0
747,425.0,0.0,0.0
748,383.0,0.0,0.0
749,400.0,0.0,0.0
750,485.0,0.0,0.0
751,80.0,950.0,0.0
752,60.0,350.0,0.0
753,130.0,700.0,0.0
754,105.0,1600.0,0.0
755,105.0,1300.0,0.0
756,150.0,550.0,0.0
757,145.0,0.0,0.0
758,125.0,2050.0,0.0
759,130.0,700.0,0.0
760,150.0,950.0,0.0
761,418.0,2150.0,0.0
762,1170.0,1650.0,500.0
763,1284.0,600.0,500.0
764,1232.0,750.0,500.0
765,1034.0,0.0,500.0
766,811.0,0.0,500.0
767,687.0,0.0,500.0
768,383.0,950.0,500.0
769,377.0,0.0,500.0
770,392.0,0.0,500.0
771,377.0,0.0,0.0
772,398.0,0.0,0.0
773,356.0,350.0,0.0
774,437.0,0.0,0.0
775,90.0,0.0,0.0
